Region,Service,TimeStamp,Minimum,Average,Maximum
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/02/2022 17:00:00,0.000165053782984614,0.000301655846242497,0.000539107597433031
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/02/2022 18:00:00,0.00015851556090638,0.000309306867562253,0.000568503187969327
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/02/2022 19:00:00,0.000159041340728956,0.00030149071631998,0.000571829872205853
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/02/2022 20:00:00,0.000138152297586203,0.000298489952858551,0.000583535153418779
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/02/2022 21:00:00,0.000145442935172468,0.000296929235182239,0.000564853614196181
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/02/2022 22:00:00,0.000162258511409163,0.000299714568268158,0.000523229059763253
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/02/2022 23:00:00,0.000164216803386807,0.000298019164162576,0.000529721705242991
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/03/2022 00:00:00,0.000161080632824451,0.000295476163649321,0.000554208031022235
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/03/2022 01:00:00,0.000169619999360293,0.000297958902236722,0.000505205825902522
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/03/2022 02:00:00,0.00016283190343529,0.000293283019235065,0.000600530719384551
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/03/2022 03:00:00,0.00016107278643176,0.000298108583091591,0.000574363791383803
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/03/2022 04:00:00,0.00017366090323776,0.000299585478762941,0.000541750537721734
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/03/2022 05:00:00,0.000175157387275249,0.000302425765538879,0.000570901716127992
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/03/2022 06:00:00,0.000165781530085951,0.000298324137808826,0.000515951798297465
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/03/2022 07:00:00,0.000166166783310473,0.000297974547684342,0.00055731285829097
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/03/2022 08:00:00,0.000167802930809557,0.000295720558487091,0.000572819891385734
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/03/2022 09:00:00,0.000155259372799524,0.000292681976620573,0.000491422764025629
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/03/2022 10:00:00,0.000163838127627969,0.000293991418479255,0.00054919037502259
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/03/2022 11:00:00,0.00016533964080736,0.000293061976385447,0.000536995870061219
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/03/2022 12:00:00,0.000159012316726148,0.000295912854672703,0.000489938561804593
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/03/2022 13:00:00,0.000169652560725808,0.000295899430001023,0.000553807360120118
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/03/2022 14:00:00,0.000165427033789456,0.000294845610466587,0.000587596837431192
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/03/2022 15:00:00,0.000173182075377554,0.000296595864269263,0.000537727470509708
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/03/2022 16:00:00,0.000143691652920097,0.000293664532490516,0.000484829489141703
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/03/2022 17:00:00,0.000172211497556418,0.000297477359234388,0.000551120284944773
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/03/2022 18:00:00,0.000168512284290045,0.000299218022351122,0.000529849389567971
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/03/2022 19:00:00,0.000167672836687416,0.000295478722754069,0.000540090049616992
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/03/2022 20:00:00,0.000164517434313893,0.000298273320471156,0.000506270374171436
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/03/2022 21:00:00,0.000157011311966926,0.00029765777998139,0.000528787658549845
us-west-2,fjord-racer1-cruise-ui-ecs-service,06/03/2022 22:00:00,0.000156162388157099,0.000300421713338773,0.000588416610844433
